fight_id,fighter_id,round,kd,sig_str,total_str,td,sub_att,reversals,ctr_time,head,body,leg,distance,clinch,ground
4675,2482,1,0,12 of 19,18 of 25,1 of 1,1,0,1:00,9 of 16,3 of 3,0 of 0,5 of 8,5 of 8,2 of 3
4676,3783,1,0,9 of 29,9 of 29,0 of 0,0,0,0:00,1 of 18,1 of 3,7 of 8,9 of 29,0 of 0,0 of 0
4676,3783,2,1,23 of 42,25 of 47,0 of 0,0,0,0:04,16 of 34,2 of 2,5 of 6,18 of 35,0 of 0,5 of 7
4676,62,1,0,19 of 46,21 of 48,2 of 2,0,0,0:11,11 of 34,3 of 6,5 of 6,18 of 45,0 of 0,1 of 1
4676,62,2,0,20 of 44,20 of 44,0 of 0,0,0,0:00,6 of 25,3 of 4,11 of 15,20 of 44,0 of 0,0 of 0
4677,1055,1,0,24 of 71,25 of 72,0 of 0,0,0,0:00,14 of 59,8 of 10,2 of 2,20 of 67,4 of 4,0 of 0
4677,1055,2,0,33 of 81,33 of 81,0 of 0,0,0,0:00,27 of 72,5 of 8,1 of 1,29 of 73,4 of 8,0 of 0
4677,4406,1,0,52 of 97,54 of 101,1 of 3,0,0,0:57,29 of 72,15 of 17,8 of 8,49 of 93,3 of 4,0 of 0
4677,4406,2,0,52 of 118,62 of 129,0 of 2,0,0,0:47,45 of 111,5 of 5,2 of 2,40 of 98,12 of 20,0 of 0
4678,169,1,0,6 of 21,7 of 22,0 of 0,0,0,0:00,6 of 21,0 of 0,0 of 0,6 of 21,0 of 0,0 of 0
4678,169,2,0,2 of 10,2 of 10,0 of 2,0,0,0:16,1 of 6,0 of 3,1 of 1,2 of 10,0 of 0,0 of 0
4678,3784,1,0,24 of 70,49 of 98,0 of 0,0,0,2:16,15 of 56,3 of 7,6 of 7,12 of 51,3 of 3,9 of 16
4678,3784,2,1,15 of 30,39 of 57,1 of 1,1,0,3:58,11 of 24,4 of 6,0 of 0,2 of 12,1 of 2,12 of 16
4679,1798,1,0,11 of 30,11 of 30,0 of 2,0,0,0:18,4 of 18,2 of 5,5 of 7,9 of 28,2 of 2,0 of 0
4679,4374,1,2,25 of 40,29 of 45,0 of 0,0,0,0:04,18 of 32,7 of 8,0 of 0,19 of 31,1 of 1,5 of 8
4680,2242,1,0,35 of 58,35 of 58,0 of 0,0,0,0:00,9 of 26,7 of 11,19 of 21,34 of 57,1 of 1,0 of 0
4680,2242,2,0,34 of 81,34 of 81,0 of 0,0,0,0:00,10 of 42,3 of 7,21 of 32,34 of 81,0 of 0,0 of 0
4680,2242,3,0,27 of 67,27 of 67,0 of 0,0,0,0:00,13 of 43,3 of 5,11 of 19,27 of 67,0 of 0,0 of 0
4680,10,1,0,20 of 53,20 of 53,0 of 0,0,0,0:00,9 of 41,1 of 1,10 of 11,20 of 52,0 of 1,0 of 0
4680,10,2,0,14 of 51,14 of 51,0 of 0,0,0,0:00,10 of 41,0 of 2,4 of 8,14 of 51,0 of 0,0 of 0
4680,10,3,0,11 of 50,11 of 50,0 of 0,0,0,0:00,5 of 41,0 of 3,6 of 6,11 of 50,0 of 0,0 of 0
4681,710,1,0,18 of 58,18 of 58,0 of 0,0,0,0:00,15 of 52,1 of 4,2 of 2,18 of 58,0 of 0,0 of 0
4681,710,2,0,20 of 46,20 of 46,0 of 0,0,0,0:02,10 of 33,7 of 8,3 of 5,18 of 44,2 of 2,0 of 0
4681,710,3,0,13 of 35,13 of 35,0 of 0,0,0,0:00,5 of 26,5 of 6,3 of 3,10 of 30,2 of 3,1 of 2
4681,1154,1,0,17 of 88,17 of 88,0 of 0,0,0,0:00,13 of 79,3 of 7,1 of 2,17 of 88,0 of 0,0 of 0
4681,1154,2,0,23 of 71,24 of 72,0 of 0,0,0,0:21,10 of 54,9 of 13,4 of 4,21 of 69,0 of 0,2 of 2
4681,1154,3,0,27 of 66,33 of 72,1 of 2,0,0,1:43,15 of 49,11 of 15,1 of 2,22 of 60,0 of 0,5 of 6
4682,3466,1,0,7 of 12,13 of 18,0 of 1,1,0,0:35,5 of 9,2 of 3,0 of 0,4 of 8,0 of 0,3 of 4
4682,3055,1,1,9 of 12,10 of 13,0 of 4,1,0,1:20,5 of 6,3 of 4,1 of 2,6 of 8,3 of 4,0 of 0
4683,653,1,0,12 of 26,15 of 29,0 of 1,0,0,0:00,2 of 13,7 of 9,3 of 4,10 of 24,2 of 2,0 of 0
4683,653,2,0,12 of 26,12 of 27,0 of 2,0,0,0:44,3 of 13,8 of 10,1 of 3,9 of 21,3 of 5,0 of 0
4683,653,3,0,15 of 37,15 of 37,0 of 3,0,0,0:12,8 of 24,6 of 10,1 of 3,12 of 33,3 of 4,0 of 0
4683,653,4,0,10 of 20,10 of 20,0 of 2,0,0,0:57,1 of 7,5 of 5,4 of 8,9 of 18,1 of 2,0 of 0
4683,653,5,0,11 of 22,12 of 23,1 of 1,0,0,0:51,3 of 10,4 of 6,4 of 6,8 of 19,2 of 2,1 of 1
4683,1072,1,0,16 of 32,19 of 36,0 of 2,0,0,0:45,9 of 22,4 of 7,3 of 3,7 of 22,9 of 10,0 of 0
4683,1072,2,0,16 of 32,24 of 40,0 of 1,0,0,0:03,6 of 20,8 of 10,2 of 2,10 of 26,6 of 6,0 of 0
4683,1072,3,0,19 of 38,19 of 38,0 of 0,0,0,0:00,11 of 29,5 of 5,3 of 4,15 of 32,4 of 6,0 of 0
4683,1072,4,0,15 of 31,20 of 37,0 of 1,0,0,0:00,8 of 19,1 of 3,6 of 9,13 of 29,2 of 2,0 of 0
4683,1072,5,0,18 of 33,19 of 34,0 of 0,0,0,0:00,3 of 15,1 of 2,14 of 16,17 of 31,1 of 2,0 of 0
4684,2556,1,0,4 of 14,10 of 20,0 of 0,0,1,0:18,0 of 9,3 of 4,1 of 1,1 of 11,0 of 0,3 of 3
4684,2556,2,0,47 of 90,88 of 139,3 of 4,2,0,2:12,43 of 86,3 of 3,1 of 1,8 of 32,20 of 28,19 of 30
4684,3137,1,1,10 of 17,16 of 25,1 of 1,1,0,3:17,7 of 14,3 of 3,0 of 0,8 of 13,0 of 0,2 of 4
4684,3137,2,0,13 of 36,15 of 38,0 of 0,1,0,0:04,10 of 32,0 of 1,3 of 3,10 of 29,3 of 7,0 of 0
4685,353,1,0,25 of 60,38 of 73,0 of 2,0,0,1:12,17 of 50,6 of 8,2 of 2,19 of 51,4 of 7,2 of 2
4685,353,2,0,28 of 69,33 of 78,0 of 1,0,0,0:00,22 of 60,5 of 6,1 of 3,24 of 64,4 of 5,0 of 0
4685,353,3,0,4 of 12,17 of 26,0 of 0,0,1,0:21,3 of 11,1 of 1,0 of 0,2 of 10,2 of 2,0 of 0
4685,3108,1,0,22 of 60,32 of 70,0 of 0,1,0,1:21,9 of 46,7 of 8,6 of 6,17 of 48,5 of 12,0 of 0
4685,3108,2,0,38 of 89,42 of 93,1 of 3,0,0,1:54,28 of 77,5 of 7,5 of 5,26 of 74,5 of 7,7 of 8
4685,3108,3,0,14 of 26,41 of 57,1 of 3,0,1,3:58,7 of 18,7 of 8,0 of 0,3 of 14,6 of 6,5 of 6
4686,947,1,0,11 of 42,14 of 45,1 of 1,0,1,1:01,6 of 35,2 of 4,3 of 3,10 of 37,1 of 4,0 of 1
4686,947,2,0,20 of 29,26 of 35,0 of 1,0,1,3:35,13 of 22,6 of 6,1 of 1,3 of 8,0 of 0,17 of 21
