fight_id,fighter_id,round,kd,sig_str,total_str,td,sub_att,reversals,ctr_time,head,body,leg,distance,clinch,ground
3050,2849,2,0,16 of 38,32 of 54,0 of 0,0,0,0:09,11 of 33,2 of 2,3 of 3,14 of 35,2 of 3,0 of 0
3050,2849,3,0,9 of 22,12 of 26,3 of 4,3,0,1:40,4 of 17,2 of 2,3 of 3,7 of 19,2 of 3,0 of 0
3051,1043,1,0,53 of 121,53 of 121,0 of 0,0,0,0:00,44 of 107,6 of 11,3 of 3,53 of 121,0 of 0,0 of 0
3051,1043,2,0,40 of 92,44 of 98,1 of 2,0,0,0:34,31 of 81,7 of 9,2 of 2,37 of 87,3 of 5,0 of 0
3051,1043,3,0,59 of 131,59 of 131,0 of 0,0,0,0:00,50 of 116,9 of 15,0 of 0,57 of 128,2 of 3,0 of 0
3051,859,1,0,11 of 40,11 of 40,0 of 0,0,0,0:00,9 of 37,2 of 3,0 of 0,11 of 40,0 of 0,0 of 0
3051,859,2,0,12 of 38,12 of 38,0 of 0,0,0,0:00,9 of 35,3 of 3,0 of 0,11 of 37,1 of 1,0 of 0
3051,859,3,0,24 of 75,24 of 75,0 of 0,0,0,0:00,19 of 67,3 of 6,2 of 2,24 of 75,0 of 0,0 of 0
3052,1916,1,1,12 of 31,13 of 32,0 of 0,0,0,0:03,10 of 27,1 of 2,1 of 2,8 of 25,0 of 0,4 of 6
3052,587,1,0,10 of 20,10 of 20,0 of 0,0,0,0:00,5 of 12,0 of 1,5 of 7,10 of 20,0 of 0,0 of 0
3053,463,1,0,9 of 32,9 of 32,0 of 0,0,0,0:00,3 of 23,2 of 4,4 of 5,9 of 32,0 of 0,0 of 0
3053,463,2,0,18 of 56,18 of 56,0 of 0,0,0,0:00,13 of 47,4 of 8,1 of 1,17 of 53,1 of 3,0 of 0
3053,463,3,0,16 of 44,21 of 49,0 of 0,0,0,0:17,8 of 30,5 of 11,3 of 3,16 of 44,0 of 0,0 of 0
3053,1334,1,0,11 of 35,12 of 36,1 of 1,0,0,0:25,10 of 32,0 of 0,1 of 3,10 of 33,0 of 0,1 of 2
3053,1334,2,0,14 of 46,14 of 46,0 of 1,0,0,0:00,11 of 41,2 of 4,1 of 1,14 of 45,0 of 1,0 of 0
3053,1334,3,2,24 of 53,24 of 53,0 of 1,0,0,0:04,21 of 49,3 of 4,0 of 0,21 of 47,0 of 1,3 of 5
3054,636,1,0,15 of 33,15 of 33,0 of 1,0,0,0:00,5 of 21,6 of 7,4 of 5,15 of 33,0 of 0,0 of 0
3054,636,2,0,6 of 19,6 of 19,0 of 1,0,0,0:00,4 of 17,2 of 2,0 of 0,6 of 19,0 of 0,0 of 0
3054,1174,1,0,20 of 63,20 of 63,0 of 0,0,0,0:00,4 of 45,2 of 4,14 of 14,20 of 62,0 of 1,0 of 0
3054,1174,2,1,13 of 31,13 of 31,0 of 0,0,0,0:02,6 of 20,3 of 7,4 of 4,11 of 28,1 of 1,1 of 2
3055,2283,1,0,9 of 35,10 of 36,1 of 1,0,0,0:02,4 of 27,1 of 3,4 of 5,9 of 34,0 of 1,0 of 0
3055,2283,2,0,27 of 53,29 of 55,0 of 0,0,0,0:16,23 of 48,3 of 3,1 of 2,21 of 46,6 of 7,0 of 0
3055,2283,3,0,17 of 41,27 of 51,1 of 2,0,0,1:31,13 of 34,0 of 0,4 of 7,13 of 34,2 of 5,2 of 2
3055,520,1,0,17 of 42,17 of 42,0 of 1,0,0,0:00,7 of 28,5 of 8,5 of 6,15 of 39,2 of 3,0 of 0
3055,520,2,0,19 of 57,19 of 57,0 of 0,0,0,0:00,10 of 44,3 of 6,6 of 7,18 of 54,1 of 3,0 of 0
3055,520,3,0,6 of 29,6 of 29,0 of 1,0,0,0:00,4 of 23,1 of 3,1 of 3,6 of 28,0 of 1,0 of 0
3056,1724,1,0,11 of 27,13 of 29,0 of 0,0,0,0:26,5 of 20,4 of 5,2 of 2,11 of 27,0 of 0,0 of 0
3056,1724,2,0,17 of 35,29 of 47,1 of 2,0,0,1:02,13 of 29,2 of 4,2 of 2,17 of 34,0 of 1,0 of 0
3056,1724,3,0,16 of 46,17 of 47,0 of 0,0,0,0:30,12 of 40,4 of 6,0 of 0,15 of 45,1 of 1,0 of 0
3056,1353,1,0,8 of 29,10 of 31,0 of 1,0,0,0:00,3 of 18,1 of 4,4 of 7,6 of 24,2 of 5,0 of 0
3056,1353,2,0,8 of 21,9 of 22,0 of 0,1,0,0:00,1 of 10,1 of 3,6 of 8,8 of 21,0 of 0,0 of 0
3056,1353,3,0,7 of 39,10 of 42,0 of 0,1,0,0:00,2 of 29,0 of 3,5 of 7,7 of 39,0 of 0,0 of 0
3057,3970,1,0,12 of 36,12 of 36,0 of 0,0,0,0:00,6 of 29,3 of 3,3 of 4,11 of 35,1 of 1,0 of 0
3057,3970,2,0,14 of 29,20 of 35,1 of 1,0,0,0:27,9 of 21,1 of 1,4 of 7,11 of 24,3 of 5,0 of 0
3057,3970,3,0,24 of 54,25 of 55,0 of 0,0,0,0:02,16 of 41,3 of 6,5 of 7,20 of 46,4 of 8,0 of 0
3057,2426,1,0,10 of 22,10 of 22,0 of 0,0,0,0:00,4 of 13,1 of 2,5 of 7,9 of 20,1 of 2,0 of 0
3057,2426,2,0,6 of 14,8 of 17,0 of 4,0,0,0:45,3 of 7,0 of 1,3 of 6,6 of 14,0 of 0,0 of 0
3057,2426,3,0,14 of 28,16 of 30,0 of 3,0,0,0:42,7 of 19,5 of 5,2 of 4,11 of 25,3 of 3,0 of 0
3058,653,1,0,1 of 3,13 of 20,0 of 0,2,1,3:25,0 of 1,0 of 0,1 of 2,1 of 3,0 of 0,0 of 0
3058,653,2,0,12 of 37,12 of 37,0 of 0,0,0,0:00,1 of 22,2 of 5,9 of 10,12 of 37,0 of 0,0 of 0
3058,653,3,0,24 of 43,29 of 48,1 of 1,0,0,0:16,5 of 19,2 of 4,17 of 20,16 of 31,1 of 3,7 of 9
3058,1941,1,0,0 of 3,2 of 7,1 of 1,0,0,1:02,0 of 1,0 of 0,0 of 2,0 of 3,0 of 0,0 of 0
3058,1941,2,0,10 of 34,10 of 34,0 of 1,0,0,0:00,2 of 21,2 of 2,6 of 11,10 of 34,0 of 0,0 of 0
3058,1941,3,0,5 of 16,5 of 16,0 of 5,0,0,0:59,3 of 10,0 of 3,2 of 3,5 of 16,0 of 0,0 of 0
3059,1895,1,0,25 of 55,28 of 58,1 of 1,0,0,0:28,13 of 39,9 of 10,3 of 6,19 of 48,6 of 7,0 of 0
3059,1895,2,0,16 of 36,21 of 41,0 of 1,0,0,1:01,7 of 24,6 of 7,3 of 5,9 of 22,7 of 14,0 of 0
3059,1895,3,0,24 of 43,28 of 48,0 of 1,0,0,0:32,9 of 24,8 of 10,7 of 9,16 of 33,8 of 10,0 of 0
3059,1895,4,0,16 of 27,23 of 34,2 of 2,0,0,2:35,9 of 15,6 of 8,1 of 4,5 of 14,10 of 10,1 of 3
3059,1895,5,0,11 of 17,26 of 34,0 of 0,0,0,2:16,5 of 9,5 of 6,1 of 2,2 of 6,9 of 11,0 of 0
3059,766,1,0,18 of 48,21 of 51,0 of 1,0,0,0:00,15 of 44,1 of 2,2 of 2,12 of 38,6 of 10,0 of 0
3059,766,2,0,18 of 46,23 of 52,0 of 1,0,0,0:02,9 of 34,7 of 9,2 of 3,11 of 34,7 of 12,0 of 0
3059,766,3,0,15 of 47,19 of 53,0 of 2,0,0,0:22,12 of 37,2 of 4,1 of 6,8 of 31,6 of 14,1 of 2
3059,766,4,0,3 of 16,8 of 22,0 of 0,0,0,0:20,1 of 8,0 of 3,2 of 5,3 of 15,0 of 1,0 of 0
3059,766,5,0,4 of 8,7 of 13,1 of 4,0,0,0:52,3 of 7,1 of 1,0 of 0,1 of 3,3 of 5,0 of 0
3060,2473,1,0,19 of 43,20 of 44,0 of 0,0,0,0:04,11 of 33,4 of 5,4 of 5,13 of 36,6 of 7,0 of 0
3060,2473,2,0,23 of 64,24 of 65,0 of 0,0,0,0:00,20 of 57,2 of 6,1 of 1,22 of 60,1 of 4,0 of 0
3060,2473,3,0,13 of 60,18 of 68,0 of 1,0,0,0:00,13 of 57,0 of 3,0 of 0,13 of 58,0 of 2,0 of 0
3060,3500,1,1,15 of 55,19 of 59,0 of 0,1,0,0:44,13 of 51,1 of 2,1 of 2,10 of 49,0 of 0,5 of 6
3060,3500,2,0,17 of 78,17 of 79,1 of 1,0,0,0:22,13 of 74,4 of 4,0 of 0,13 of 72,3 of 5,1 of 1
3060,3500,3,0,26 of 78,31 of 84,1 of 1,0,0,1:20,24 of 75,2 of 3,0 of 0,19 of 64,2 of 4,5 of 10
3061,4131,1,0,33 of 61,43 of 71,0 of 0,0,0,0:12,12 of 36,19 of 23,2 of 2,18 of 41,15 of 20,0 of 0
3061,4131,2,0,47 of 100,51 of 104,0 of 0,0,0,0:15,28 of 78,17 of 20,2 of 2,35 of 84,12 of 16,0 of 0
3061,4131,3,0,20 of 51,21 of 52,0 of 0,0,0,0:00,14 of 41,5 of 8,1 of 2,19 of 50,1 of 1,0 of 0
3061,2893,1,0,18 of 39,44 of 66,0 of 1,0,0,2:29,10 of 30,7 of 8,1 of 1,9 of 27,9 of 12,0 of 0
3061,2893,2,0,19 of 56,34 of 73,0 of 1,0,0,0:48,9 of 44,9 of 9,1 of 3,14 of 50,5 of 6,0 of 0
3061,2893,3,1,29 of 46,31 of 48,0 of 0,0,0,0:11,25 of 39,3 of 5,1 of 2,17 of 33,11 of 11,1 of 2
3062,3408,1,0,20 of 57,20 of 57,2 of 4,0,0,1:41,11 of 44,6 of 10,3 of 3,17 of 52,3 of 5,0 of 0
3062,3408,2,0,9 of 22,9 of 22,2 of 3,2,0,1:21,8 of 21,1 of 1,0 of 0,8 of 19,1 of 2,0 of 1
3062,3408,3,0,8 of 23,8 of 24,1 of 1,2,0,2:34,6 of 20,1 of 1,1 of 2,5 of 17,1 of 3,2 of 3
3062,3793,1,0,30 of 58,33 of 61,0 of 1,0,0,0:10,16 of 42,5 of 6,9 of 10,20 of 40,7 of 14,3 of 4
3062,3793,2,0,15 of 23,15 of 23,3 of 5,0,0,1:56,10 of 18,1 of 1,4 of 4,12 of 19,2 of 3,1 of 1
3062,3793,3,0,24 of 28,24 of 28,0 of 1,0,0,1:00,15 of 19,4 of 4,5 of 5,16 of 19,7 of 8,1 of 1
3063,626,1,0,22 of 43,27 of 51,2 of 2,0,0,2:46,11 of 28,5 of 8,6 of 7,6 of 17,0 of 0,16 of 26
3063,626,2,0,25 of 43,37 of 58,1 of 2,0,0,3:30,20 of 38,5 of 5,0 of 0,9 of 21,0 of 0,16 of 22
3063,626,3,0,12 of 25,15 of 28,1 of 1,0,0,0:50,9 of 20,1 of 1,2 of 4,6 of 14,0 of 0,6 of 11
3063,3088,1,0,8 of 16,13 of 21,1 of 2,0,0,0:34,3 of 11,1 of 1,4 of 4,8 of 15,0 of 1,0 of 0
3063,3088,2,0,7 of 19,13 of 25,0 of 2,1,0,0:00,3 of 13,2 of 4,2 of 2,5 of 17,1 of 1,1 of 1
3063,3088,3,0,1 of 4,1 of 4,0 of 0,0,0,0:00,0 of 2,0 of 1,1 of 1,1 of 4,0 of 0,0 of 0
3064,1706,1,0,15 of 22,47 of 64,1 of 1,2,0,3:48,10 of 17,1 of 1,4 of 4,7 of 12,0 of 0,8 of 10
3064,1706,2,0,11 of 23,22 of 34,1 of 1,0,0,3:23,8 of 16,3 of 6,0 of 1,6 of 18,0 of 0,5 of 5
3064,1706,3,0,16 of 29,45 of 66,1 of 2,0,0,2:45,10 of 23,0 of 0,6 of 6,13 of 26,1 of 1,2 of 2
3064,1739,1,0,9 of 17,10 of 18,0 of 0,0,1,0:16,4 of 12,3 of 3,2 of 2,8 of 13,0 of 0,1 of 4
3064,1739,2,0,4 of 19,6 of 21,0 of 0,0,0,0:00,2 of 16,1 of 1,1 of 2,3 of 18,0 of 0,1 of 1
3064,1739,3,0,9 of 28,10 of 29,0 of 0,0,0,0:00,5 of 22,4 of 6,0 of 0,9 of 28,0 of 0,0 of 0
3065,4433,1,0,16 of 22,27 of 33,0 of 3,0,0,1:53,2 of 5,4 of 5,10 of 12,3 of 6,13 of 16,0 of 0
3065,4433,2,0,8 of 18,15 of 26,0 of 1,0,0,0:34,3 of 11,3 of 5,2 of 2,5 of 13,3 of 5,0 of 0
3065,4433,3,0,4 of 6,5 of 8,0 of 3,0,0,1:18,2 of 3,0 of 1,2 of 2,0 of 1,3 of 4,1 of 1
3065,4214,1,0,16 of 17,41 of 42,1 of 3,0,0,2:13,6 of 7,3 of 3,7 of 7,6 of 7,8 of 8,2 of 2
3065,4214,2,0,17 of 31,41 of 57,1 of 3,0,0,3:16,6 of 14,3 of 7,8 of 10,7 of 16,8 of 12,2 of 3
3065,4214,3,0,14 of 17,51 of 64,2 of 3,0,0,3:31,6 of 8,1 of 1,7 of 8,0 of 2,9 of 9,5 of 6
3066,1738,1,0,10 of 15,10 of 15,0 of 0,0,0,0:30,0 of 4,0 of 0,10 of 11,7 of 12,3 of 3,0 of 0
3066,2153,1,1,29 of 50,29 of 50,0 of 0,0,0,0:11,24 of 44,2 of 3,3 of 3,17 of 37,2 of 3,10 of 10
3067,3067,1,0,11 of 22,20 of 31,2 of 8,0,0,2:47,2 of 11,0 of 1,9 of 10,6 of 16,5 of 6,0 of 0
3067,3067,2,0,20 of 48,20 of 48,1 of 1,0,0,1:02,11 of 35,0 of 3,9 of 10,20 of 48,0 of 0,0 of 0
3067,3067,3,0,18 of 42,19 of 43,1 of 3,0,0,0:39,7 of 30,1 of 2,10 of 10,16 of 38,2 of 2,0 of 2
3067,3821,1,1,15 of 39,15 of 39,0 of 0,0,0,0:06,13 of 32,2 of 6,0 of 1,12 of 31,1 of 4,2 of 4
3067,3821,2,0,21 of 60,21 of 60,0 of 0,0,0,0:00,15 of 51,5 of 8,1 of 1,21 of 60,0 of 0,0 of 0
3067,3821,3,0,16 of 56,16 of 56,0 of 0,0,0,0:00,13 of 49,2 of 5,1 of 2,16 of 56,0 of 0,0 of 0
3068,3018,1,0,15 of 49,15 of 49,0 of 2,0,0,0:03,5 of 29,6 of 11,4 of 9,13 of 47,2 of 2,0 of 0
3068,3018,2,0,6 of 29,7 of 30,0 of 2,0,0,0:30,0 of 18,1 of 4,5 of 7,1 of 22,5 of 7,0 of 0
3068,3018,3,0,22 of 62,22 of 62,0 of 6,0,0,0:35,17 of 52,5 of 8,0 of 2,17 of 54,5 of 8,0 of 0
3068,4018,1,0,11 of 52,11 of 52,0 of 1,0,0,0:00,6 of 44,5 of 7,0 of 1,7 of 48,4 of 4,0 of 0
3068,4018,2,0,13 of 37,13 of 37,2 of 3,0,0,1:57,5 of 28,1 of 2,7 of 7,9 of 32,4 of 4,0 of 1
3068,4018,3,0,14 of 38,14 of 38,0 of 2,0,0,0:04,10 of 34,1 of 1,3 of 3,10 of 33,4 of 5,0 of 0
3069,1550,1,1,27 of 41,33 of 47,0 of 0,0,0,0:32,13 of 25,5 of 7,9 of 9,18 of 28,0 of 1,9 of 12
3069,3836,1,0,10 of 18,10 of 18,0 of 0,0,0,0:00,3 of 10,3 of 4,4 of 4,10 of 17,0 of 1,0 of 0
3070,653,1,0,19 of 43,19 of 43,0 of 0,0,0,0:00,6 of 28,8 of 9,5 of 6,17 of 40,2 of 3,0 of 0
3070,653,2,0,16 of 38,17 of 39,1 of 2,0,0,0:29,6 of 23,6 of 9,4 of 6,16 of 38,0 of 0,0 of 0
3070,653,3,0,22 of 44,22 of 44,0 of 5,0,0,0:03,7 of 25,6 of 10,9 of 9,20 of 41,2 of 3,0 of 0
3070,1631,1,0,27 of 47,27 of 47,0 of 1,0,0,0:00,4 of 22,4 of 5,19 of 20,27 of 46,0 of 1,0 of 0
3070,1631,2,0,34 of 62,37 of 65,0 of 0,0,0,0:00,2 of 26,9 of 12,23 of 24,32 of 59,2 of 3,0 of 0
3070,1631,3,0,25 of 46,29 of 50,0 of 0,0,0,0:00,7 of 23,7 of 12,11 of 11,25 of 46,0 of 0,0 of 0
3071,2528,1,0,43 of 87,43 of 87,0 of 0,0,0,0:00,29 of 68,11 of 15,3 of 4,33 of 73,10 of 14,0 of 0
3071,2528,2,1,21 of 32,22 of 33,0 of 0,0,0,0:26,20 of 31,1 of 1,0 of 0,14 of 23,0 of 0,7 of 9
3071,3738,1,0,27 of 82,28 of 83,0 of 3,0,0,0:03,12 of 53,3 of 9,12 of 20,25 of 76,2 of 6,0 of 0
3071,3738,2,0,5 of 22,5 of 22,0 of 0,0,0,0:00,1 of 15,1 of 4,3 of 3,5 of 22,0 of 0,0 of 0
3072,3611,1,0,11 of 55,14 of 58,0 of 0,0,0,0:00,8 of 48,0 of 1,3 of 6,8 of 51,3 of 4,0 of 0
3072,3611,2,0,18 of 30,43 of 55,0 of 1,4,2,0:19,16 of 28,0 of 0,2 of 2,5 of 14,1 of 2,12 of 14
3072,3611,3,0,27 of 67,49 of 91,1 of 2,0,0,0:28,26 of 61,1 of 4,0 of 2,21 of 60,4 of 5,2 of 2
3072,302,1,0,16 of 46,23 of 53,1 of 2,0,0,0:52,9 of 34,4 of 9,3 of 3,11 of 39,2 of 4,3 of 3
3072,302,2,0,9 of 34,20 of 45,0 of 0,0,1,3:20,8 of 33,1 of 1,0 of 0,1 of 18,1 of 2,7 of 14
3072,302,3,0,14 of 55,18 of 62,1 of 2,0,0,0:32,9 of 50,4 of 4,1 of 1,10 of 42,1 of 3,3 of 10
3073,3102,1,0,8 of 20,23 of 38,2 of 6,0,0,2:58,7 of 19,0 of 0,1 of 1,3 of 9,2 of 4,3 of 7
3073,3102,2,0,18 of 28,52 of 69,1 of 4,0,0,2:33,9 of 17,5 of 6,4 of 5,6 of 14,0 of 1,12 of 13
3073,3102,3,0,9 of 11,49 of 54,1 of 3,0,0,3:36,9 of 11,0 of 0,0 of 0,1 of 3,1 of 1,7 of 7
3073,1119,1,0,13 of 27,16 of 30,0 of 0,0,0,0:00,9 of 22,4 of 5,0 of 0,8 of 20,5 of 7,0 of 0
3073,1119,2,0,2 of 6,4 of 8,0 of 0,0,0,0:00,2 of 5,0 of 1,0 of 0,2 of 6,0 of 0,0 of 0
3073,1119,3,0,2 of 3,3 of 5,0 of 0,0,0,0:00,0 of 1,0 of 0,2 of 2,2 of 3,0 of 0,0 of 0
3074,316,1,0,15 of 21,50 of 67,1 of 1,0,0,4:30,15 of 21,0 of 0,0 of 0,2 of 5,0 of 0,13 of 16
3074,316,2,0,9 of 20,43 of 57,1 of 2,0,0,4:28,8 of 19,1 of 1,0 of 0,1 of 7,0 of 0,8 of 13
3074,316,3,0,10 of 15,61 of 70,0 of 0,0,0,4:50,10 of 15,0 of 0,0 of 0,2 of 4,0 of 0,8 of 11
3074,3262,1,0,1 of 4,8 of 11,0 of 1,0,0,0:00,0 of 3,1 of 1,0 of 0,1 of 4,0 of 0,0 of 0
3074,3262,2,0,1 of 3,5 of 7,0 of 1,0,0,0:00,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0
3074,3262,3,0,0 of 0,3 of 4,0 of 0,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
3075,3938,1,0,29 of 51,29 of 51,2 of 2,0,0,0:57,18 of 36,5 of 6,6 of 9,26 of 42,1 of 3,2 of 6
3075,3938,2,0,8 of 8,8 of 8,0 of 0,0,0,0:03,8 of 8,0 of 0,0 of 0,2 of 2,0 of 0,6 of 6
3075,694,1,0,8 of 34,8 of 34,0 of 0,0,0,0:00,5 of 29,0 of 0,3 of 5,8 of 32,0 of 1,0 of 1
3075,694,2,0,1 of 4,1 of 4,0 of 1,0,0,0:00,1 of 4,0 of 0,0 of 0,1 of 4,0 of 0,0 of 0
3076,2096,1,1,13 of 16,14 of 17,0 of 0,1,0,0:31,11 of 14,1 of 1,1 of 1,2 of 4,2 of 2,9 of 10
3076,2815,1,0,4 of 8,4 of 8,0 of 1,0,0,0:10,4 of 7,0 of 1,0 of 0,4 of 8,0 of 0,0 of 0
3077,2910,1,0,0 of 0,0 of 0,0 of 0,0,0,0:00,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
3077,129,1,1,6 of 7,6 of 7,0 of 0,0,0,0:02,5 of 6,1 of 1,0 of 0,2 of 2,0 of 0,4 of 5
3078,3351,1,1,14 of 33,14 of 33,0 of 3,0,0,0:29,8 of 25,2 of 4,4 of 4,10 of 28,2 of 3,2 of 2
3078,80,1,0,8 of 14,8 of 14,0 of 0,0,0,0:22,5 of 11,3 of 3,0 of 0,6 of 11,2 of 3,0 of 0
3079,2766,1,0,24 of 55,24 of 55,0 of 0,0,0,0:00,12 of 37,10 of 16,2 of 2,24 of 55,0 of 0,0 of 0
3079,2766,2,0,24 of 67,24 of 67,0 of 2,0,0,0:07,13 of 55,10 of 11,1 of 1,24 of 67,0 of 0,0 of 0
3079,2766,3,0,17 of 68,17 of 68,0 of 8,0,0,1:10,10 of 61,6 of 6,1 of 1,16 of 67,1 of 1,0 of 0
3079,4082,1,0,17 of 37,17 of 37,0 of 0,0,0,0:00,16 of 31,1 of 5,0 of 1,17 of 37,0 of 0,0 of 0
3079,4082,2,0,36 of 89,36 of 89,0 of 0,0,0,0:03,33 of 83,2 of 5,1 of 1,34 of 87,2 of 2,0 of 0
3079,4082,3,0,34 of 75,34 of 75,0 of 1,0,0,0:04,32 of 67,1 of 7,1 of 1,32 of 72,2 of 2,0 of 1
3080,763,1,0,10 of 31,11 of 32,0 of 0,0,0,0:02,5 of 22,1 of 4,4 of 5,10 of 30,0 of 1,0 of 0
3080,3674,1,1,10 of 26,12 of 28,0 of 0,0,0,0:25,6 of 21,3 of 4,1 of 1,7 of 22,2 of 3,1 of 1
3081,881,1,0,9 of 40,9 of 40,0 of 2,0,0,0:00,4 of 31,3 of 5,2 of 4,9 of 38,0 of 2,0 of 0
3081,881,2,0,7 of 33,20 of 46,0 of 3,0,0,1:25,2 of 20,5 of 12,0 of 1,3 of 25,4 of 8,0 of 0
3081,881,3,0,19 of 56,22 of 59,0 of 4,0,0,0:03,5 of 35,7 of 11,7 of 10,17 of 53,2 of 3,0 of 0
3081,234,1,0,5 of 42,5 of 42,0 of 0,0,0,0:00,3 of 34,0 of 4,2 of 4,5 of 41,0 of 1,0 of 0
3081,234,2,0,6 of 23,7 of 24,0 of 2,0,0,0:19,4 of 21,1 of 1,1 of 1,5 of 21,1 of 2,0 of 0
3081,234,3,0,15 of 52,17 of 54,1 of 1,0,0,0:26,12 of 47,3 of 5,0 of 0,14 of 50,0 of 1,1 of 1
3082,1630,1,0,4 of 11,4 of 11,0 of 0,0,0,0:00,1 of 8,0 of 0,3 of 3,4 of 11,0 of 0,0 of 0
3082,2725,1,1,4 of 22,5 of 24,0 of 0,0,0,0:02,3 of 21,0 of 0,1 of 1,3 of 21,0 of 0,1 of 1
3083,1530,1,0,10 of 20,10 of 20,0 of 0,0,0,0:00,8 of 16,0 of 1,2 of 3,10 of 20,0 of 0,0 of 0
3083,1870,1,1,30 of 47,38 of 56,0 of 0,0,0,0:32,29 of 45,0 of 0,1 of 2,9 of 21,4 of 5,17 of 21
3084,3534,1,1,20 of 38,21 of 39,0 of 0,0,0,0:07,15 of 32,3 of 4,2 of 2,6 of 21,6 of 6,8 of 11
3084,1112,1,0,1 of 28,1 of 28,0 of 0,0,0,0:00,1 of 28,0 of 0,0 of 0,1 of 28,0 of 0,0 of 0
3085,2701,1,0,6 of 20,22 of 37,0 of 2,0,1,1:55,3 of 15,1 of 3,2 of 2,5 of 12,1 of 2,0 of 6
3085,2701,2,0,3 of 12,3 of 12,0 of 2,0,0,0:00,3 of 12,0 of 0,0 of 0,3 of 12,0 of 0,0 of 0
3085,2701,3,0,6 of 27,6 of 27,0 of 2,0,0,0:43,6 of 25,0 of 2,0 of 0,4 of 25,2 of 2,0 of 0
3085,58,1,0,1 of 10,8 of 18,0 of 1,0,0,0:52,1 of 9,0 of 1,0 of 0,0 of 7,1 of 2,0 of 1
3085,58,2,0,9 of 30,9 of 30,0 of 0,0,0,0:09,3 of 24,3 of 3,3 of 3,9 of 30,0 of 0,0 of 0
3085,58,3,0,11 of 35,14 of 38,0 of 0,0,0,0:00,8 of 28,2 of 6,1 of 1,10 of 33,1 of 2,0 of 0
3086,2805,1,0,23 of 51,27 of 55,3 of 4,0,0,1:20,10 of 35,2 of 4,11 of 12,23 of 51,0 of 0,0 of 0
3086,2805,2,0,19 of 44,20 of 45,2 of 5,0,0,1:24,12 of 37,2 of 2,5 of 5,18 of 38,1 of 2,0 of 4
3086,2805,3,0,25 of 57,27 of 59,3 of 4,0,0,0:46,21 of 53,2 of 2,2 of 2,24 of 55,0 of 0,1 of 2
3086,4262,1,0,9 of 44,11 of 46,0 of 0,0,0,0:00,4 of 29,0 of 5,5 of 10,9 of 43,0 of 1,0 of 0
3086,4262,2,0,9 of 48,10 of 50,0 of 0,0,0,0:00,4 of 35,0 of 6,5 of 7,9 of 48,0 of 0,0 of 0
3086,4262,3,0,11 of 58,12 of 60,0 of 0,0,0,0:00,5 of 42,1 of 9,5 of 7,10 of 57,1 of 1,0 of 0
3087,2502,1,0,13 of 26,40 of 57,1 of 1,0,0,3:10,3 of 12,6 of 9,4 of 5,5 of 12,0 of 0,8 of 14
3087,2502,2,0,11 of 27,17 of 34,0 of 3,0,0,0:21,3 of 19,7 of 7,1 of 1,9 of 24,1 of 2,1 of 1
3087,2502,3,0,16 of 39,16 of 39,0 of 2,0,0,0:00,7 of 27,9 of 11,0 of 1,13 of 31,3 of 8,0 of 0
3087,2265,1,0,3 of 13,8 of 19,0 of 0,1,0,0:00,1 of 6,0 of 2,2 of 5,3 of 13,0 of 0,0 of 0
3087,2265,2,0,18 of 41,20 of 43,0 of 0,2,1,0:46,7 of 26,10 of 13,1 of 2,18 of 37,0 of 0,0 of 4
3087,2265,3,0,17 of 67,20 of 70,0 of 0,0,0,0:00,11 of 54,6 of 13,0 of 0,11 of 51,6 of 16,0 of 0
3088,1644,1,0,0 of 4,0 of 4,0 of 0,0,0,0:00,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0,0 of 0
3088,496,1,1,11 of 18,11 of 18,0 of 0,0,0,0:05,10 of 17,0 of 0,1 of 1,4 of 6,0 of 0,7 of 12
3089,3965,1,0,5 of 11,15 of 23,0 of 0,0,0,0:00,3 of 8,0 of 1,2 of 2,5 of 11,0 of 0,0 of 0
3089,3965,2,0,13 of 39,16 of 42,0 of 0,1,1,1:09,6 of 31,6 of 7,1 of 1,10 of 34,1 of 3,2 of 2
3089,3965,3,0,5 of 10,44 of 50,0 of 0,1,0,4:47,5 of 10,0 of 0,0 of 0,0 of 3,0 of 0,5 of 7
3089,2540,1,1,14 of 44,22 of 55,0 of 0,0,0,4:20,14 of 43,0 of 1,0 of 0,6 of 22,0 of 0,8 of 22
3089,2540,2,0,19 of 59,21 of 61,1 of 1,0,0,0:32,10 of 46,8 of 10,1 of 3,12 of 50,7 of 9,0 of 0
3089,2540,3,0,1 of 2,1 of 2,0 of 1,0,0,0:03,1 of 2,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0
3090,2560,1,0,37 of 95,37 of 95,0 of 0,0,0,0:00,30 of 87,4 of 5,3 of 3,34 of 90,3 of 5,0 of 0
3090,2560,2,0,0 of 1,0 of 1,0 of 0,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
3090,112,1,0,15 of 55,16 of 56,0 of 0,0,0,0:00,7 of 41,2 of 4,6 of 10,14 of 50,1 of 5,0 of 0
3090,112,2,1,8 of 13,8 of 13,0 of 0,0,0,0:04,6 of 10,1 of 1,1 of 2,2 of 5,0 of 0,6 of 8
