"fight_id","event_name","fight_date","weight_class","title_bout","winner","win_method","f1_fighter_id","f1_name","f1_height","f1_weight","f1_reach","f1_stance","f1_dob","f1_wins","f1_losses","f1_draws","f1_slpm","f1_str_acc","f1_sapm","f1_str_def","f1_td_avg","f1_td_acc","f1_td_def","f1_sub_avg","f2_fighter_id","f2_name","f2_height","f2_weight","f2_reach","f2_stance","f2_dob","f2_wins","f2_losses","f2_draws","f2_slpm","f2_str_acc","f2_sapm","f2_str_def","f2_td_avg","f2_td_acc","f2_td_def","f2_sub_avg"
28,"UFC 4: Revenge of the Warriors","1994-12-16","Open Weight Bout",False,"Dan Severn","Submission",2350,"Anthony Macias",69,185,0,"Switch","1969-02-09","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3635,"Dan Severn",74,250,0,"Southpaw","1958-06-08","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,"UFC 4: Revenge of the Warriors","1994-12-16","Open Weight Bout",False,"Royce Gracie","Submission",1458,"Royce Gracie",73,175,0,"Southpaw","1966-12-12","6","0","0","0.85551330798479087127","0.60000000000000000000","0.57034220532319391418","0.50000000000000000000","3.42205323193916348505","0.50000000000000000000","0.00000000000000000000","5.13307984790874522765",1538,"Keith Hackney",71,200,0,"Sideways","1958-04-15","2","0","0","8.9045936395759719","0.65625000000000000000","0.21201413427561837755","0.80000000000000000000","0.00000000000000000000",NULL,"0.50000000000000000000","3.18021201413427566325"
30,"UFC 4: Revenge of the Warriors","1994-12-16","Open Weight Bout",False,"Dan Severn","Submission",421,"Marcus Bossett",73,215,0,"Orthodox","1900-01-01","1","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3635,"Dan Severn",74,250,0,"Southpaw","1958-06-08","1","0","0","0.00000000000000000000",NULL,"4.5714285714285714","0.11111111111111111111","17.1428571428571435","0.40000000000000000000",NULL,"8.57142857142857142855"
31,"UFC 4: Revenge of the Warriors","1994-12-16","UFC 4 Tournament Title Bout",True,"Royce Gracie","Submission",1458,"Royce Gracie",73,175,0,"Southpaw","1966-12-12","7","0","0","1.1271676300578035","0.54166666666666666667","0.60693641618497109739","0.57575757575757575758","2.60115606936416184600","0.40000000000000000000","0.00000000000000000000","5.85260115606936415335",3635,"Dan Severn",74,250,0,"Southpaw","1958-06-08","2","0","0","0.00000000000000000000",NULL,"3.43949044585987261146","0.18181818181818181818","17.19745222929936305730","0.50000000000000000000",NULL,"11.46496815286624203825"
32,"UFC 5: The Return of the Beast","1995-04-07","Open Weight Bout",False,"Dave Beneteau","KO/TKO",327,"Dave Beneteau",74,250,0,"Orthodox","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,582,"Asbel Cancio",70,225,0,"NaN","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,"UFC 5: The Return of the Beast","1995-04-07","Open Weight Bout",False,"Guy Mezger","KO/TKO",1009,"John Dowdy",0,0,0,"NaN","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2588,"Guy Mezger",73,200,0,"Orthodox","1968-01-01","1","0","0","8.5714285714285713","0.63333333333333333333","4.0601503759398496","0.25000000000000000000","6.76691729323308260505","1.00000000000000000000",NULL,"0.00000000000000000000"
34,"UFC 5: The Return of the Beast","1995-04-07","Open Weight Bout",False,"Jon Hess","KO/TKO",136,"Andy Anderson",66,240,0,"NaN","1974-07-16","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1661,"Jon Hess",79,295,0,"NaN","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,"UFC 5: The Return of the Beast","1995-04-07","Open Weight Bout",False,"Todd Medina","Submission",836,"Larry Cureton",74,240,0,"Orthodox","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2552,"Todd Medina",70,193,0,"Southpaw","1970-04-30","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,"UFC 5: The Return of the Beast","1995-04-07","Open Weight Bout",False,"Oleg Taktarov","Submission",3947,"Oleg Taktarov",72,210,0,"Orthodox","1967-08-26","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4167,"Ernie Verdicia",71,199,0,"Orthodox","1900-01-01","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,"UFC 5: The Return of the Beast","1995-04-07","Open Weight Bout",False,"Dan Severn","Submission",663,"Joe Charles",73,260,0,"Southpaw","1900-01-01","1","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3635,"Dan Severn",74,250,0,"Southpaw","1958-06-08","2","1","0","0.21699819168173598514","0.57142857142857142857","0.48824593128390596657","0.40000000000000000000","3.25497287522603977710","0.57142857142857142857",NULL,"1.62748643761301988855"
