fight_id,fighter_id,round,kd,sub_att,reversals,ctr_time,sig_str_landed,sig_str_attempted,total_str_landed,total_str_attempted,td_landed,td_attempted,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted
5430,1240,3,0,0,0,00:00:00,44,95,44,95,0,0,38,88,5,6,1,1,42,92,2,3,0,0
5430,3720,1,0,0,0,00:02:02,20,36,23,40,3,4,14,27,5,7,1,2,11,27,7,7,2,2
5430,3720,2,0,0,0,00:00:39,13,39,16,42,2,7,8,33,2,3,3,3,12,38,1,1,0,0
5430,3720,3,0,0,0,00:00:36,26,79,26,79,1,5,23,76,3,3,0,0,23,76,3,3,0,0
5431,3837,1,0,0,0,00:00:49,10,21,12,23,2,6,8,17,1,3,1,1,9,20,0,0,1,1
5431,3837,2,0,0,0,00:01:38,8,18,30,40,2,5,6,15,2,3,0,0,8,18,0,0,0,0
5431,3837,3,0,0,0,00:04:06,23,28,75,87,1,1,20,25,2,2,1,1,6,9,0,0,17,19
5431,3784,1,0,0,0,00:00:02,10,50,13,54,0,0,8,47,0,0,2,3,9,49,0,0,1,1
5431,3784,2,0,0,1,00:00:54,14,40,30,57,0,0,11,36,1,2,2,2,12,36,1,2,1,2
5431,3784,3,0,0,0,00:00:00,6,15,6,16,0,0,2,11,1,1,3,3,6,14,0,0,0,1
5432,2129,1,0,0,0,00:01:55,11,20,38,58,1,1,9,18,2,2,0,0,4,11,2,3,5,6
5432,2129,2,0,0,0,00:01:44,21,44,23,47,1,2,17,39,4,5,0,0,15,35,0,2,6,7
5432,2129,3,1,0,0,00:00:29,15,21,24,32,0,0,14,20,1,1,0,0,1,2,0,0,14,19
5432,3538,1,0,0,1,00:02:23,15,24,37,48,0,0,2,7,12,15,1,2,4,8,11,16,0,0
5432,3538,2,0,0,0,00:01:28,31,55,54,79,0,0,7,29,16,16,8,10,16,39,15,16,0,0
5432,3538,3,0,0,0,00:00:00,1,2,1,2,0,0,1,2,0,0,0,0,1,1,0,0,0,1
5433,3889,1,0,0,0,00:00:03,23,30,28,35,0,1,4,10,8,9,11,11,22,29,1,1,0,0
5433,3889,2,0,0,0,00:00:00,30,47,35,52,0,0,14,29,12,13,4,5,24,41,6,6,0,0
5433,3420,1,0,0,0,00:02:12,19,30,23,34,0,1,10,20,7,7,2,3,10,21,9,9,0,0
5433,3420,2,1,0,0,00:02:26,39,71,48,80,0,0,31,63,6,6,2,2,23,45,11,20,5,6
5434,3374,1,0,0,0,00:00:02,22,53,27,58,0,0,17,48,4,4,1,1,14,44,8,9,0,0
5434,3374,2,0,0,0,00:00:00,29,71,29,71,0,0,13,51,11,13,5,7,20,58,9,13,0,0
5434,3374,3,0,0,0,00:00:00,5,16,5,16,0,0,0,11,3,3,2,2,5,15,0,1,0,0
5434,561,1,0,0,0,00:01:35,21,32,25,37,2,2,12,19,4,7,5,6,16,27,1,1,4,4
5434,561,2,0,0,0,00:00:03,13,39,14,40,0,1,5,22,4,10,4,7,12,38,1,1,0,0
5434,561,3,0,0,0,00:03:26,44,59,73,96,1,1,34,49,9,9,1,1,2,7,0,0,42,52
5435,2967,1,0,0,0,00:03:14,13,15,27,30,1,2,11,13,1,1,1,1,2,4,1,1,10,10
5435,2967,2,0,0,0,00:02:06,14,20,17,24,0,1,4,10,8,8,2,2,7,13,7,7,0,0
5435,2967,3,0,0,0,00:02:30,18,25,27,35,1,3,14,19,3,4,1,2,8,14,1,1,9,10
5435,2967,4,0,0,0,00:00:00,18,28,18,28,0,1,13,22,0,0,5,6,18,28,0,0,0,0
5435,2967,5,0,0,0,00:00:29,11,17,12,18,0,3,6,12,0,0,5,5,11,17,0,0,0,0
5435,3431,1,0,0,0,00:00:00,5,13,8,16,0,0,1,8,0,1,4,4,5,12,0,1,0,0
5435,3431,2,0,0,0,00:00:04,19,35,28,44,0,0,9,23,7,9,3,3,11,25,8,10,0,0
5435,3431,3,0,0,0,00:00:00,14,33,22,41,0,0,7,26,4,4,3,3,8,26,4,5,2,2
5435,3431,4,0,0,0,00:00:00,30,73,30,73,0,0,23,63,4,5,3,5,25,64,5,9,0,0
5435,3431,5,1,0,0,00:00:01,21,55,21,55,0,0,17,49,1,1,3,5,19,53,2,2,0,0
5436,3794,1,2,0,0,00:01:14,26,44,26,46,1,1,20,37,6,7,0,0,10,19,2,3,14,22
5436,3137,1,0,0,1,00:00:18,8,17,11,20,0,0,4,11,3,4,1,2,3,12,4,4,1,1
5437,1154,1,0,0,0,00:00:00,25,59,25,59,0,1,13,41,8,12,4,6,22,56,3,3,0,0
5437,1154,2,0,0,0,00:00:13,35,65,37,67,0,0,15,40,4,7,16,18,33,62,2,3,0,0
5437,1154,3,0,0,0,00:00:00,38,72,38,72,0,0,12,40,17,21,9,11,36,70,2,2,0,0
5437,171,1,0,0,0,00:01:16,26,49,37,60,1,1,16,39,3,3,7,7,21,42,2,3,3,4
5437,171,2,0,0,0,00:00:27,9,30,11,32,1,2,7,27,1,1,1,2,9,29,0,1,0,0
5437,171,3,0,0,0,00:00:00,21,43,21,43,0,4,16,37,3,3,2,3,21,43,0,0,0,0
5438,2705,1,0,0,0,00:00:00,27,90,27,90,0,0,23,86,3,3,1,1,27,90,0,0,0,0
5438,2705,2,0,0,0,00:00:00,30,84,30,84,0,0,26,79,4,5,0,0,30,84,0,0,0,0
5438,2705,3,0,0,0,00:00:00,34,102,34,102,0,0,29,96,5,6,0,0,34,102,0,0,0,0
5438,1965,1,0,0,0,00:00:00,29,71,29,71,0,0,20,56,4,6,5,9,29,71,0,0,0,0
5438,1965,2,0,0,0,00:00:00,24,64,24,64,0,0,18,55,2,4,4,5,24,64,0,0,0,0
5438,1965,3,0,0,0,00:00:00,29,96,29,96,0,0,19,83,4,7,6,6,29,96,0,0,0,0
5439,1720,1,0,2,0,00:03:13,20,36,37,70,1,3,17,32,2,3,1,1,3,4,1,1,16,31
5439,3995,1,0,1,0,00:00:40,2,6,2,6,0,0,2,6,0,0,0,0,2,4,0,0,0,2
5440,478,1,0,0,0,00:04:08,5,10,10,17,1,1,4,8,1,2,0,0,3,6,0,0,2,4
5440,478,2,0,0,0,00:03:26,25,37,30,42,1,2,23,35,1,1,1,1,7,14,2,2,16,21
5440,3568,1,0,4,0,00:00:00,9,14,14,19,0,0,9,12,0,2,0,0,2,6,0,0,7,8
5440,3568,2,0,0,0,00:00:10,3,9,24,30,0,0,1,5,2,4,0,0,3,9,0,0,0,0
5441,1625,1,0,0,0,00:00:00,13,28,17,32,0,2,3,11,1,8,9,9,13,28,0,0,0,0
5441,1625,2,0,0,0,00:00:51,17,31,19,33,1,3,7,17,7,11,3,3,15,28,1,2,1,1
5441,1625,3,0,0,0,00:01:38,23,44,34,56,2,5,16,34,5,8,2,2,18,38,3,4,2,2
5441,40,1,0,0,0,00:00:37,19,54,21,56,1,1,12,46,4,5,3,3,17,52,2,2,0,0
5441,40,2,0,0,0,00:00:31,18,60,25,67,1,1,14,49,3,10,1,1,15,57,3,3,0,0
5441,40,3,0,0,0,00:00:23,18,52,23,57,0,2,15,44,3,8,0,0,16,50,2,2,0,0
5442,4183,1,0,0,0,00:00:00,20,76,20,76,0,0,19,75,1,1,0,0,20,76,0,0,0,0
5442,61,1,1,0,0,00:00:02,26,71,26,71,0,0,13,52,7,13,6,6,24,69,0,0,2,2
5443,2814,1,1,0,0,00:00:02,15,23,15,23,0,0,12,18,1,3,2,2,12,20,0,0,3,3
5443,3100,1,0,0,0,00:00:00,5,10,5,10,0,0,1,3,2,4,2,3,5,10,0,0,0,0
